HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0406.10.58.00","5","Other","[""kg"",""kg cmsc""]","$2.146/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 14.3¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.56 (CO) See 9919.04.50, 9919.04.55, 9919.04.65 (PA)","$2.525/kg","",""
"","4","Swiss or Emmentaler cheese other than with eye formation, Gruyere-process cheese and cheese and substitutes for cheese containing, or processed from, such cheeses:","","","","","",""
"0406.10.64.00","5","Described in additional U.S. note 22 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.68.00","5","Other","[""kg"",""kg cmsc""]","$1.386/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 9.2¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.57 (CO) See 9919.04.50, 9919.04.56, 9919.04.66 (PA)","$1.631/kg","",""
"","4","Other:","","","","","",""
"","5","Cheese, and substitutes for cheese, containing 0.5 percent or less by weight of butterfat:","","","","","",""
"0406.10.74.00","6","Described in additional U.S. note 23 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.78.00","6","Other","[""kg"",""kg cmsc""]","$1.128/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7.5¢/kg (KR) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.58 (CO) See 9919.04.50, 9919.04.57, 9919.04.67 (PA)","$1.328/kg","",""
"","5","Other cheese and substitutes for cheese (except cheese not containing cow's milk, and soft ripened cow's milk cheese):","","","","","",""
"0406.10.84.00","6","Described in additional U.S. note 16 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.88.00","6","Other","[""kg"",""kg cmsc""]","$1.509/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 10¢/kg (KR) See 9822.04.35 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.51 (CO) See 9919.04.40, 9919.04.41-9919.04.42 (PA)","$1.775/kg","",""
"0406.10.95.00","5","Other","[""kg""]","8.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20","1","Grated or powdered cheese, of all kinds:","","","","","",""
"","2","Blue-veined cheese:","","","","","",""
"0406.20.10.00","3","Roquefort cheese","[""kg""]","8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.15.00","3","Stilton cheese described in additional U.S. note 24 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","17%","Free (CO,JO,KR,OM,PA,PE,S)","35%","",""
"","3","Other:","","","","","",""
"0406.20.22.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.24.00","4","Described in additional U.S. note 17 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","20%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.28.00","4","Other","[""kg"",""kg cmsc""]","$2.269/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 15.1¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.52 (CO) See 9919.04.50, 9919.04.51, 9919.04.61 (PA)","$2.67/kg","",""
"","2","Cheddar cheese:","","","","","",""
"0406.20.29.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","16%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.31","3","Described in additional U.S.note 18 to this chapter and entered pursuant to its provisions","","16%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.31.10","4","Produced in Canada and not subject to licensing requirements","[""kg"",""kg cmsc""]","","","","",""
"0406.20.31.90","4","Other","[""kg"",""kg cmsc""]","","","","",""
"0406.20.33.00","3","Other","[""kg"",""kg cmsc""]","$1.227/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 8.1¢/kg (KR) See 9822.04.45 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.53 (CO) See 9919.04.50, 9919.04.52, 9919.04.62 (PA)","$1.443/kg","",""
"","2","Colby:","","","","","",""
"0406.20.34.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.36.00","3","Described in additional U.S.note 19 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.39.00","3","Other","[""kg"",""kg cmsc""]","$1.055/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7¢/kg (KR) See 9822.04.50 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.54 (CO) See 9919.04.50, 9919.04.53, 9919.04.63 (PA)","$1.241/kg","",""
"","2","Edam and Gouda cheeses:","","","","","",""
"0406.20.43.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.44.00","3","Described in additional U.S. note 20 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","15%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.48.00","3","Other","[""kg"",""kg cmsc""]","$1.803/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 12¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.55 (CO) See 9919.04.50, 9919.04.54, 9919.04.64 (PA)","$2.121/kg","",""
"","2","Romano made from cow's milk, Reggiano, Parmesan, Provolone, Provoletti, Sbrinz and Goya cheeses:","","","","","",""
"0406.20.49.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"","4","Made from cow's milk:","","","","","",""
"0406.20.51.00","5","Described in additional U.S. note 21 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","15%","Free (A,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.53.00","5","Other","[""kg"",""kg cmsc""]","$2.146/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 14.3¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.56 (CO) See 9919.04.50, 9919.04.55, 9919.04.65 (PA)","$2.525/kg","",""
"0406.20.54.00","4","Other","[""kg""]","9.6%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","2","Other, including mixtures of the above:","","","","","",""
"0406.20.55.00","3","Cheeses made from sheep's milk","[""kg""]","9.6%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.56.00","3","Other, described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"0406.20.57.00","4","Containing, or processed from, Bryndza, Gjetost, Gammelost, Nokkelost or Roquefort cheeses","[""kg""]","8.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","4","Containing, or processed from, blue-veined cheese (except Roquefort):","","","","","",""
"0406.20.61.00","5","Described in additional U.S. note 17 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.63.00","5","Other","[""kg"",""kg cmsc""]","$2.269/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 15.1¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.52 (CO) See 9919.04.50, 9919.04.51, 9919.04.61 (PA)","$2.67/kg","",""
"","4","Containing, or processed from, Cheddar cheese:","","","","","",""
"0406.20.65.00","5","Described in additional U.S. note 18 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.67.00","5","Other","[""kg"",""kg cmsc""]","$1.227/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 8.1¢/kg (KR) See 9822.04.45 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.53 (CO) See 9919.04.50, 9919.04.52, 9919.04.62 (PA)","$1.443/kg","",""
"","4","Containing, or processed from, American- type cheese (including Colby, washed curd and granular cheese but not including Cheddar):","","","","","",""
"0406.20.69.00","5","Described in additional U.S.note 19 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.71.00","5","Other","[""kg"",""kg cmsc""]","$1.055/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7¢/kg (KR) See 9822.04.50 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.54 (CO) See 9919.04.50, 9919.04.53, 9919.04.63 (PA)","$1.241/kg","",""
"","4","Containing, or processed from, Edam or Gouda cheese:","","","","","",""
"0406.20.73.00","5","Described in additional U.S. note 20 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.75.00","5","Other","[""kg"",""kg cmsc""]","$1.803/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 12¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.55 (CO) See 9919.04.50, 9919.04.54, 9919.04.64 (PA)","$2.121/kg","",""
"","4","Containing, or processed from, Italian-type cheeses (Romano, Reggiano, Parmesan, Provolone, Provoletti, Sbrinz and Goya) made from cow's milk:","","","","","",""
"0406.20.77.00","5","Described in additional U.S. note 21 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.79.00","5","Other","[""kg"",""kg cmsc""]","$2.146/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 14.3¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.56 (CO) See 9919.04.50, 9919.04.55, 9919.04.65 (PA)","$2.525/kg","",""
"","4","Containing, or processed from, Swiss, Emmentaler, or Gruyere-process cheeses:","","","","","",""
"0406.20.81.00","5","Described in additional U.S. note 22 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.83.00","5","Other","[""kg"",""kg cmsc""]","$1.386/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 9.2¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.57 (CO) See 9919.04.50, 9919.04.56, 9919.04.66 (PA)","$1.631/kg","",""
"","4","Other:","","","","","",""
"","5","Containing 0.5 percent or less by weight of butterfat:","","","","","",""
"0406.20.85.00","6","Described in additional U.S. note 23 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.87.00","6","Other","[""kg"",""kg cmsc""]","$1.128/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7.5¢/kg (KR) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.58 (CO) See 9919.04.50, 9919.04.57, 9919.04.67 (PA)","$1.328/kg","",""
"","5","Other:","","","","","",""
"","6","Containing cow's milk:","","","","","",""
"0406.20.89.00","7","Described in additional U.S. note 16 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.20.91.00","7","Other","[""kg"",""kg cmsc""]","$1.509/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 10¢/kg (KR) See 9822.04.35 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.51 (CO) See 9919.04.40, 9919.04.41-9919.04.42 (PA)","$1.775/kg","",""
"0406.20.95.00","6","Other","[""kg""]","8.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30","1","Processed (process) cheese, not grated or powdered:","","","","","",""
"","2","Blue-veined cheese other than Roquefort cheese:","","","","","",""
"0406.30.05.00","3","Stilton cheese described in additional U.S. note 24 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","17%","Free (CO,JO,KR,OM,PA,PE,S)","35%","",""
"","3","Other:","","","","","",""
"0406.30.12.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.14.00","4","Described in additional U.S. note 17 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","20%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.18.00","4","Other","[""kg"",""kg cmsc""]","$2.269/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 15.1¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.52 (CO) See 9919.04.50, 9919.04.51, 9919.04.61 (PA)","$2.67/kg","",""
"","2","Cheddar cheese:","","","","","",""
"0406.30.22.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","16%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.24.00","3","Described in additional U.S.note 18 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","16%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.28.00","3","Other","[""kg"",""kg cmsc""]","$1.227/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 8.1¢/kg (KR) See 9822.04.45 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.53 (CO) See 9919.04.50, 9919.04.52, 9919.04.62 (PA)","$1.443/kg","",""
"","2","Colby cheese:","","","","","",""
"0406.30.32.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.34.00","3","Described in additional U.S. note 19 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.38.00","3","Other","[""kg"",""kg cmsc""]","$1.055/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7¢/kg (KR) See 9822.04.50 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.54 (CO) See 9919.04.50, 9919.04.53, 9919.04.63 (PA)","$1.241/kg","",""
"","2","Edam and Gouda cheeses:","","","","","",""
"0406.30.42.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.44.00","3","Described in additional U.S. note 20 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","15%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.48.00","3","Other","[""kg"",""kg cmsc""]","$1.803/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 12¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.55 (CO) See 9919.04.50, 9919.04.54, 9919.04.64 (PA)","$2.121/kg","",""
"","2","Gruyere-process cheese:","","","","","",""
"0406.30.49.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","6.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.51.00","3","Described in additional U.S. note 22 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","6.4%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.53.00","3","Other","[""kg"",""kg cmsc""]","$1.386/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 9.2¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.57 (CO) See 9919.04.50, 9919.04.56, 9919.04.66 (PA)","$1.631/kg","",""
"","2","Other, including mixtures of the above:","","","","","",""
"0406.30.55.00","3","Cheeses made from sheep's milk","[""kg""]","9.6%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.56.00","3","Other, described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"0406.30.57.00","4","Containing, or processed from, Bryndza, Gjetost, Gammelost, Nokkelost or Roquefort cheeses","[""kg""]","8.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","4","Containing, or processed from, blue-veined cheese(except Roquefort):","","","","","",""
"0406.30.61.00","5","Described in additional U.S. note 17 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.63.00","5","Other","[""kg"",""kg cmsc""]","$2.269/kg","Free (BH,CL,JO,MA,OM,P,SG) 15.1¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.52 (CO) See 9919.04.50, 9919.04.51, 9919.04.61 (PA)","$2.67/kg","",""
"","4","Containing, or processed from, Cheddar cheese:","","","","","",""
"0406.30.65.00","5","Described in additional U.S. note 18 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.67.00","5","Other","[""kg"",""kg cmsc""]","$1.227/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 8.1¢/kg (KR) See 9822.04.45 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.53 (CO) See 9919.04.50, 9919.04.52, 9919.04.62 (PA)","$1.443/kg","",""
"","4","Containing, or processed from, American- type cheese (including Colby, washed curd and granular cheese, but not including Cheddar):","","","","","",""
"0406.30.69.00","5","Described in additional U.S. note 19 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.71.00","5","Other","[""kg"",""kg cmsc""]","$1.055/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7¢/kg (KR) See 9822.04.50 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.54 (CO) See 9919.04.50, 9919.04.53, 9919.04.63 (PA)","$1.241/kg","",""
"","4","Containing, or processed from, Edam or Gouda cheeses:","","","","","",""
"0406.30.73.00","5","Described in additional U.S. note 20 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.75.00","5","Other","[""kg"",""kg cmsc""]","$1.803/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 12¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.55 (CO) See 9919.04.50, 9919.04.54, 9919.04.64 (PA)","$2.121/kg","",""
"","4","Containing, or processed from, Italian-type cheeses (Romano, Reggiano, Parmesan, Provolone, Provoletti, Sbrinz and Goya):","","","","","",""
"0406.30.77.00","5","Described in additional U.S. note 21 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.79.00","5","Other","[""kg"",""kg cmsc""]","$2.146/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 14.3¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.56 (CO) See 9919.04.50, 9919.04.55, 9919.04.65 (PA)","$2.525/kg","",""
"","4","Containing, or processed from, Swiss, Emmentaler or Gruyere-process cheeses:","","","","","",""
"0406.30.81.00","5","Described in additional U.S. note 22 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.83.00","5","Other","[""kg"",""kg cmsc""]","$1.386/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 9.2¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.57 (CO) See 9919.04.50, 9919.04.56, 9919.04.66 (PA)","$1.631/kg","",""
"","4","Other:","","","","","",""
"","5","Containing 0.5 percent or less by weight of butterfat:","","","","","",""
"0406.30.85.00","6","Described in additional U.S. note 23 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.87.00","6","Other","[""kg"",""kg cmsc""]","$1.128/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7.5¢/kg (KR) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.58 (CO) See 9919.04.50, 9919.04.57, 9919.04.67 (PA)","$1.328/kg","",""
"","5","Other:","","","","","",""
"","6","Containing cow's milk:","","","","","",""
"0406.30.89.00","7","Described in additional U.S. note 16 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.30.91.00","7","Other","[""kg"",""kg cmsc""]","$1.509/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 10¢/kg (KR) See 9822.04.35 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.51 (CO) See 9919.04.40, 9919.04.41-9919.04.42 (PA)","$1.775/kg","",""
"0406.30.95.00","6","Other","[""kg""]","8.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.40","1","Blue-veined cheese and other cheese containing veins produced by <u>Penicillium roqueforti</u> :","","","","","",""
"","2","Roquefort:","","","","","",""
"0406.40.20.00","3","In original loaves","[""kg""]","2.7%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.40.40.00","3","Other","[""kg""]","4.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","2","Stilton cheese described in additional U.S. note 24 to this chapter and entered pursuant to its provisions:","","","","","",""
"0406.40.44.00","3","In original loaves","[""kg"",""kg cmsc""]","12.8%","Free (CO,JO,KR,OM,PA,PE,S)","35%","",""
"0406.40.48.00","3","Other","[""kg"",""kg cmsc""]","17%","Free (CO,JO,KR,OM,PA,PE,S)","35%","",""
"","2","Other:","","","","","",""
"","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions:","","","","","",""
"0406.40.51.00","4","In original loaves","[""kg""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.40.52.00","4","Other","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Described in additional U.S. note 17 to this chapter and entered pursuant to its provisions:","","","","","",""
"0406.40.54.00","4","In original loaves","[""kg"",""kg cmsc""]","15%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.40.58.00","4","Other","[""kg"",""kg cmsc""]","20%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.40.70.00","3","Other","[""kg"",""kg cmsc""]","$2.269/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 15.1¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.52 (CO) See 9919.04.50, 9919.04.51, 9919.04.61 (PA)","$2.67/kg","",""
"0406.90","1","Other cheese:","","","","","",""
"0406.90.05.00","2","Bryndza cheese","[""kg""]","7.2%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","2","Cheddar cheese:","","","","","",""
